@relation banana
@attribute At1 real[-3.09,2.81]
@attribute At2 real[-2.39,3.19]
@attribute Class {-1.0,1.0, unlabeled}
@inputs At1, At2
@outputs Class
@data
-0.239, -0.619, -1.0
1.37, -0.331, 1.0
-1.74, 0.697, -1.0
1.15, -1.52, 1.0
0.308, -1.34, -1.0
1.05, 0.453, -1.0
1.01, 0.555, -1.0
1.96, -0.709, -1.0
-1.48, -0.297, 1.0
-0.201, 1.35, -1.0
0.444, 1.99, -1.0
-0.781, -0.113, 1.0
-0.641, 0.516, 1.0
-0.138, -1.37, -1.0
0.187, -1.02, -1.0
-0.767, -1.3, -1.0
0.112, 0.238, 1.0
0.37, 0.312, 1.0
0.615, -0.0228, 1.0
-0.477, -1.25, -1.0
0.791, 1.69, 1.0
-0.165, -0.697, -1.0
0.153, -0.875, 1.0
0.933, 0.711, -1.0
0.291, 1.34, -1.0
1.37, -0.643, -1.0
-0.606, -0.997, -1.0
-1.01, -0.0908, 1.0
0.904, 1.04, -1.0
0.0734, -0.162, 1.0
-1.08, -1.39, -1.0
0.535, 1.4, -1.0
0.96, -0.522, 1.0
1.52, -0.0653, -1.0
1.41, 0.319, -1.0
0.321, 0.299, 1.0
-0.296, 0.255, 1.0
2.51, 1.11, 1.0
-0.264, 0.0571, 1.0
0.122, -0.041, 1.0
-0.127, -1.33, -1.0
0.0844, 1.72, 1.0
0.37, -0.0513, 1.0
1.26, -1.03, 1.0
-1.74, 0.254, -1.0
0.572, -0.812, 1.0
-1.33, 0.878, -1.0
0.15, -0.256, 1.0
2.2, 1.26, 1.0
1.08, 0.72, -1.0
2.4, 1.2, 1.0
0.805, 0.42, -1.0
0.0428, -1.04, -1.0
0.0394, -1.35, -1.0
0.851, 0.95, -1.0
1.12, -0.659, 1.0
-2.01, -1.85, 1.0
-1.03, -0.858, 1.0
-0.17, 1.18, -1.0
0.196, -1.71, -1.0
0.831, 1.35, -1.0
-1.04, -0.2, 1.0
0.182, -0.0823, 1.0
-0.18, -0.639, -1.0
-1.27, 0.184, 1.0
-1.12, -1.39, -1.0
-0.125, -1.48, -1.0
-0.212, -1.18, -1.0
-0.674, 0.842, -1.0
-1.78, -0.253, 1.0
2.51, 0.901, 1.0
0.562, 0.172, 1.0
-0.473, -0.749, -1.0
-0.409, 0.349, 1.0
1.18, 0.614, -1.0
-1.31, 0.00723, 1.0
0.659, 0.913, -1.0
-1.36, 0.976, -1.0
0.752, 1.58, -1.0
-0.784, 1.81, -1.0
0.009, 0.928, 1.0
1.72, -0.259, -1.0
1.29, 0.23, -1.0
1.24, 0.441, -1.0
0.273, 1.79, -1.0
1.15, -1.01, 1.0
-2.04, -0.978, 1.0
-0.52, -1.17, -1.0
-1.53, 0.679, -1.0
-0.716, -0.194, 1.0
-1.93, 0.96, -1.0
-0.366, -1.52, -1.0
-1.87, 0.373, -1.0
1.95, -1.02, -1.0
0.224, 1.75, 1.0
-0.832, -1.33, -1.0
1.71, -0.289, -1.0
0.276, 0.397, 1.0
-0.687, 1.01, -1.0
-0.63, 0.949, -1.0
0.298, -0.829, 1.0
-0.269, 0.961, 1.0
0.949, 0.422, -1.0
1.17, 0.446, -1.0
0.84, 1.42, -1.0
-1.21, 0.357, 1.0
1.22, 0.325, -1.0
0.484, -0.427, 1.0
-0.536, 1.19, -1.0
0.715, 1.3, -1.0
0.923, 0.933, -1.0
-0.914, -0.522, 1.0
-0.0237, 0.303, 1.0
-0.787, -0.113, 1.0
1.41, -2.09, 1.0
0.794, 0.762, -1.0
-0.651, 0.369, 1.0
0.909, 0.522, -1.0
-1.28, -1.07, 1.0
